_dbt_source_relation,appuiscommunssupp__src_name,appuiscommunssupp__src_id,appuiscommunssupp__Id,geometry,osmpowersupports__utility,osmpowersupports__nature,appuiscommunssupp__TypePhysique,appuiscommunssupp__Nature,appuiscommunssupp__Gestionnaire,appuiscommunssupp__Materiau,appuiscommunssupp__HauteurAppui,appuiscommunssupp__CodeExterne,osmpowersupports__line_attachment,osmpowersupports__line_management,osmpowersupports__transition,appuiscommunssupp__commune_insee_id,fdrcommune__insee_id,appuiscommunssupp__fdrcommune__insee_id,appuiscommunssupp__commune_nom,appuiscommunssupp__fdrcommune__nom
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154053,42d4c9e5-9e55-5f2a-bcff-bd800088aed0,POINT (0.6143465 47.5087832000517),power,tower,APPUI,,,,,,,,,37206,37206,37206,Saint-Antoine-du-Rocher,Saint-Antoine-du-Rocher
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154051,1d8f956f-bdb7-50bd-a798-a6bd17b0f47f,POINT (0.6179471 47.5077169000519),power,tower,APPUI,,,,,,,,,37206,37206,37206,Saint-Antoine-du-Rocher,Saint-Antoine-du-Rocher
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1000014330,4f4d9791-4a98-56f0-b484-df5ba4158215,POINT (0.6239804 47.5271436000475),power,tower,APPUI,,RTE,,,,,,,37206,37206,37206,Saint-Antoine-du-Rocher,Saint-Antoine-du-Rocher
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1000014305,24feab84-cc11-5baf-a362-af039bef5eca,POINT (0.6211984 47.5306441000468),power,tower,APPUI,,RTE,,,,,,,37206,37206,37206,Saint-Antoine-du-Rocher,Saint-Antoine-du-Rocher
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1000014358,e7c9fb54-011f-57fe-9909-fe56577867e3,POINT (0.617513 47.5304757000468),power,tower,APPUI,,,,,,,,,37206,37206,37206,Saint-Antoine-du-Rocher,Saint-Antoine-du-Rocher
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/9413080368,db62d925-1c83-52e4-a241-92432b5f0c60,POINT (0.4278741 47.5119451000509),,pole,APPUI,,,,,,,,,37251,37251,37251,Souvigné,Souvigné
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/9413080366,a2f40cb7-d15d-5c57-92c0-dbb5b3671938,POINT (0.4262766 47.5125185000508),,pole,APPUI,,,,,,,,,37251,37251,37251,Souvigné,Souvigné
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/9413080367,3641894f-8370-5220-8b7f-d06ae7324f13,POINT (0.4275241 47.5120776000509),,pole,APPUI,,,,,,,,,37251,37251,37251,Souvigné,Souvigné
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/9413080365,13e4aa28-6318-5628-9a46-39a106de8a15,POINT (0.4250729 47.5129542000507),,pole,APPUI,,,,,,,,,37251,37251,37251,Souvigné,Souvigné
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/9413080363,53cab593-3f35-5c91-995e-39fcde87702d,POINT (0.4239007 47.5133750000506),,pole,APPUI,,,,,,,,,37251,37251,37251,Souvigné,Souvigné
